,loss,accuracy,val_loss,val_accuracy
0,0.9587045311927795,0.5756666660308838,0.6010413765907288,0.7232722043991089
1,0.6344764828681946,0.706166684627533,0.5066961646080017,0.7771509289741516
2,0.555432915687561,0.7427666783332825,0.49400728940963745,0.7895627617835999
3,0.5197011828422546,0.7634000182151794,0.45304086804389954,0.796614944934845
4,0.48451319336891174,0.7828333377838135,0.44231870770454407,0.796332836151123
5,0.4582701623439789,0.7940999865531921,0.44465434551239014,0.8042312860488892
6,0.43148720264434814,0.8062333464622498,0.43360570073127747,0.8070521950721741
7,0.41290852427482605,0.8163999915122986,0.44150790572166443,0.805641770362854
8,0.3938107490539551,0.8245000243186951,0.4026213586330414,0.8245416283607483
9,0.38214653730392456,0.8338666558265686,0.41255515813827515,0.8225669860839844
10,0.36453962326049805,0.8417666554450989,0.40048232674598694,0.8279266357421875
11,0.3405170440673828,0.8529333472251892,0.428168386220932,0.8315938115119934
12,0.33083149790763855,0.8598333597183228,0.4128309190273285,0.8330042362213135
13,0.31592169404029846,0.8659999966621399,0.4611976742744446,0.8115655779838562
14,0.30052971839904785,0.8734999895095825,0.3988758623600006,0.8409026861190796
15,0.2903154194355011,0.8791666626930237,0.39289334416389465,0.8465444445610046
16,0.27860090136528015,0.8842333555221558,0.3834031820297241,0.8423131108283997
17,0.2638196647167206,0.8924999833106995,0.4055102467536926,0.8428772687911987
18,0.25128430128097534,0.8946666717529297,0.4158148467540741,0.8397743105888367
19,0.25156572461128235,0.896133303642273,0.41778019070625305,0.8431593775749207
20,0.23919101059436798,0.9032333493232727,0.3950735926628113,0.8530324697494507
21,0.22837668657302856,0.9085666537284851,0.4064047932624817,0.8454160690307617
22,0.22227999567985535,0.911633312702179,0.40513813495635986,0.8544428944587708
23,0.2102750837802887,0.9160333275794983,0.41988837718963623,0.8552891612052917
24,0.20690500736236572,0.9179999828338623,0.4024304151535034,0.8614950776100159
25,0.19833539426326752,0.9207666516304016,0.42253759503364563,0.8420310020446777
